,count
2016-12-20,1
2018-12-21,1
2019-05-13,1
2019-06-01,1
2019-06-05,1
2019-06-07,1
2019-06-09,1
2019-06-20,1
2019-07-12,1
2019-08-10,2
2019-08-22,1
2019-08-28,1
2019-09-05,2
2019-09-06,37
2019-09-07,39
2019-09-08,58
2019-09-09,38
2019-09-10,40
2019-09-11,49
2019-09-12,56
2019-09-13,55
2019-09-14,45
2019-09-15,48
2019-09-16,29
2019-09-17,35
2019-09-18,34
2019-09-19,34
2019-09-20,23
2019-09-21,51
2019-09-22,41
2019-09-23,35
2019-09-24,30
2019-09-25,33
2019-09-26,33
2019-09-27,38
2019-09-28,38
2019-09-29,37
2019-09-30,33
2019-10-01,26
2019-10-02,41
2019-10-03,35
2019-10-04,45
2019-10-05,37
2019-10-06,42
2019-10-07,36
2019-10-08,37
2019-10-09,42
2019-10-10,43
2019-10-11,36
2019-10-12,40
2019-10-13,46
2019-10-14,19
2019-10-15,46
2019-10-16,32
2019-10-17,34
2019-10-18,40
2019-10-19,38
2019-10-20,42
2019-10-21,38
2019-10-22,24
2019-10-23,39
2019-10-24,36
2019-10-25,41
2019-10-26,28
2019-10-27,31
2019-10-28,2
