,count
000주,8
001주,9
002주,8
003주,10
004주,13
005주,4
006주,7
007주,6
008주,7
009주,10
010주,20
011주,19
012주,37
013주,50
014주,86
015주,127
016주,104
017주,80
018주,86
019주,94
020주,107
021주,91
022주,120
023주,119
024주,108
025주,139
026주,134
027주,122
028주,116
029주,107
030주,107
031주,114
032주,41
033주,2
035주,1
038주,1
043주,2
045주,2
055주,1
067주,1
075주,1
076주,1
118주,1
130주,1
147주,1
